C:\etc\ML\snake-game\agent.py:94: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:257.)
  states = torch.tensor(states, dtype=torch.float).to(device) #
Game 577 Score 26 Record 76
Game 578 Score 27 Record 76
Game 579 Score 41 Record 76
Game 580 Score 29 Record 76
Game 581 Score 38 Record 76
Game 582 Score 31 Record 76
Game 583 Score 32 Record 76
Game 584 Score 25 Record 76
Game 585 Score 51 Record 76
Game 586 Score 38 Record 76
Game 587 Score 17 Record 76
Game 588 Score 14 Record 76
Game 589 Score 12 Record 76
Game 590 Score 22 Record 76
Game 591 Score 59 Record 76
Game 592 Score 38 Record 76
Game 593 Score 41 Record 76
Game 594 Score 26 Record 76
Game 595 Score 27 Record 76
Game 596 Score 36 Record 76
Game 597 Score 43 Record 76
Game 598 Score 23 Record 76
Game 599 Score 34 Record 76
Game 600 Score 23 Record 76
Game 601 Score 33 Record 76
Game 602 Score 54 Record 76
Game 603 Score 45 Record 76
Game 604 Score 42 Record 76
Game 605 Score 39 Record 76
Game 606 Score 20 Record 76
Game 607 Score 20 Record 76
Game 608 Score 18 Record 76
Game 609 Score 22 Record 76
Game 610 Score 54 Record 76
Game 611 Score 25 Record 76
Game 612 Score 29 Record 76
Game 613 Score 26 Record 76
Game 614 Score 45 Record 76
Game 615 Score 13 Record 76
Game 616 Score 35 Record 76
Game 617 Score 27 Record 76
Game 618 Score 59 Record 76
Game 619 Score 16 Record 76
Game 620 Score 37 Record 76
Game 621 Score 71 Record 76
Game 622 Score 13 Record 76
Game 623 Score 33 Record 76
Game 624 Score 61 Record 76
Game 625 Score 26 Record 76
Game 626 Score 31 Record 76
Game 627 Score 17 Record 76
Game 628 Score 34 Record 76
Game 629 Score 38 Record 76
Game 630 Score 15 Record 76
Game 631 Score 44 Record 76
Game 632 Score 24 Record 76
Game 633 Score 28 Record 76
Game 634 Score 38 Record 76
Game 635 Score 22 Record 76
Game 636 Score 34 Record 76
Game 637 Score 50 Record 76
Game 638 Score 19 Record 76
Game 639 Score 19 Record 76
Game 640 Score 25 Record 76
Game 641 Score 28 Record 76
Game 642 Score 21 Record 76
Game 643 Score 38 Record 76
Game 644 Score 54 Record 76
Game 645 Score 39 Record 76
Game 646 Score 27 Record 76
Game 647 Score 26 Record 76
Game 648 Score 23 Record 76
Game 649 Score 13 Record 76
Game 650 Score 14 Record 76
Game 651 Score 33 Record 76
Game 652 Score 29 Record 76
Game 653 Score 24 Record 76
Game 654 Score 25 Record 76
Game 655 Score 42 Record 76
Game 656 Score 27 Record 76
Game 657 Score 29 Record 76
Game 658 Score 31 Record 76
Game 659 Score 12 Record 76
Game 660 Score 20 Record 76
Game 661 Score 22 Record 76
Game 662 Score 53 Record 76
Game 663 Score 33 Record 76
Game 664 Score 35 Record 76
Game 665 Score 16 Record 76
Game 666 Score 28 Record 76
Game 667 Score 38 Record 76
Game 668 Score 30 Record 76
Game 669 Score 48 Record 76
Game 670 Score 17 Record 76
Game 671 Score 47 Record 76
Game 672 Score 28 Record 76
Game 673 Score 38 Record 76
Game 674 Score 25 Record 76
Game 675 Score 21 Record 76
Game 676 Score 56 Record 76
Game 677 Score 40 Record 76
Game 678 Score 22 Record 76
Game 679 Score 41 Record 76
